epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.37816,2.43912,0.08815,0.39394,3.28882,0.000163194,0.000163194,0.000163194
2,13.0821,1.35468,0.18733,0.45179,4.7213,0.00032333,0.00032333,0.00032333
3,18.3361,0.88759,0.19559,0.41047,5.56776,0.000476865,0.000476865,0.000476865
4,23.462,0.63215,0.25069,0.42424,5.90946,0.0004703,0.0004703,0.0004703
5,28.6055,0.51173,0.21212,0.4573,6.71652,0.0004604,0.0004604,0.0004604
6,33.7866,0.4178,0.21212,0.427,6.95867,0.0004505,0.0004505,0.0004505
7,38.9277,0.37484,0.2011,0.41047,7.48945,0.0004406,0.0004406,0.0004406
8,44.0777,0.32139,0.20937,0.42149,8.18933,0.0004307,0.0004307,0.0004307
9,49.3759,0.2882,0.21488,0.42424,8.10242,0.0004208,0.0004208,0.0004208
10,54.589,0.25967,0.20386,0.44077,7.52412,0.0004109,0.0004109,0.0004109
11,59.7152,0.24426,0.23691,0.41322,7.70015,0.000401,0.000401,0.000401
12,64.8922,0.25106,0.19008,0.42424,8.4464,0.0003911,0.0003911,0.0003911
13,70.1322,0.17723,0.24518,0.42149,8.28134,0.0003812,0.0003812,0.0003812
14,75.3626,0.21711,0.19008,0.39945,9.35095,0.0003713,0.0003713,0.0003713
15,80.5039,0.15733,0.20937,0.45455,8.6228,0.0003614,0.0003614,0.0003614
16,85.631,0.17255,0.19559,0.41873,8.82795,0.0003515,0.0003515,0.0003515
17,90.8203,0.15184,0.2011,0.40771,8.53772,0.0003416,0.0003416,0.0003416
18,96.0597,0.17225,0.21488,0.42975,8.80593,0.0003317,0.0003317,0.0003317
19,101.214,0.13734,0.20386,0.41322,9.28561,0.0003218,0.0003218,0.0003218
20,106.369,0.0932,0.20661,0.427,8.83572,0.0003119,0.0003119,0.0003119
21,111.533,0.12078,0.19008,0.41873,8.53093,0.000302,0.000302,0.000302
22,116.663,0.11209,0.21488,0.44628,8.74024,0.0002921,0.0002921,0.0002921
23,121.821,0.11177,0.19284,0.41873,9.17878,0.0002822,0.0002822,0.0002822
24,126.959,0.10189,0.22039,0.40771,9.18663,0.0002723,0.0002723,0.0002723
