epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.84078,2.10887,3.9627,1.19093,0.00174,0.03226,0.0001,6e-05,1.48247,4.0195,1.04226,3.334e-05,3.334e-05,3.334e-05
2,6.70006,1.95507,3.84706,1.14353,0.00706,0.14516,0.00137,0.00083,1.65024,3.91593,1.01796,8.29374e-05,8.29374e-05,8.29374e-05
3,9.37635,1.96707,3.49659,1.08716,0.02554,0.53226,0.01785,0.00717,1.8149,3.83655,1.02861,0.00013204,0.00013204,0.00013204
4,11.4862,1.87852,3.12103,1.03413,0.03208,0.66129,0.07005,0.02688,1.84435,3.8316,1.00615,0.000180647,0.000180647,0.000180647
5,13.6873,1.8635,2.61921,1.01062,0.02504,0.51613,0.03145,0.00978,1.92135,3.71721,1.03953,0.000228759,0.000228759,0.000228759
6,15.6941,1.91198,2.13904,1.02909,0.01263,0.25806,0.0143,0.00335,1.86931,3.68375,1.04475,0.000276376,0.000276376,0.000276376
7,17.7752,1.91623,1.946,1.03486,0.00385,0.08065,0.00948,0.00237,1.83479,3.67387,1.06845,0.000323498,0.000323498,0.000323498
8,19.8043,1.96932,1.78494,1.03406,0.00383,0.08065,0.01569,0.00437,1.91243,3.60915,1.04925,0.000370125,0.000370125,0.000370125
9,21.962,1.84661,1.59527,1.03574,0.00561,0.1129,0.03517,0.008,1.68445,3.51463,0.96832,0.000416257,0.000416257,0.000416257
10,24.0487,1.80093,1.53848,1.01923,0.0058,0.1129,0.04157,0.00985,1.64924,3.51423,0.97506,0.000461893,0.000461893,0.000461893
11,26.1649,1.90896,1.58083,1.0461,0.0061,0.1129,0.04965,0.0106,1.73381,3.46397,0.99157,0.000507035,0.000507035,0.000507035
12,28.2859,1.95359,1.56688,1.04782,0.00693,0.12903,0.03914,0.00839,1.69799,3.44089,0.9938,0.000551681,0.000551681,0.000551681
13,30.4423,1.85185,1.4717,1.03634,0.02064,0.43548,0.01693,0.01026,1.60939,3.36553,0.98657,0.000595832,0.000595832,0.000595832
14,32.6115,1.72476,1.35196,1.01715,0.02587,0.56452,0.05264,0.03584,1.70934,3.27782,0.99523,0.000639489,0.000639489,0.000639489
15,34.8321,1.90546,1.45247,1.03193,0.02754,0.6129,0.11557,0.0673,1.53702,3.17176,0.9703,0.00068265,0.00068265,0.00068265
16,37.031,1.72552,1.37084,0.9977,0.02827,0.64516,0.16783,0.10163,1.48369,3.11278,0.96246,0.000725316,0.000725316,0.000725316
17,39.1272,1.68601,1.3275,1.03314,0.03428,0.85484,0.27734,0.15233,1.57403,3.04683,0.9924,0.000767487,0.000767487,0.000767487
18,41.3559,1.65825,1.26053,1.00122,0.03278,0.85484,0.24977,0.13925,1.54062,3.0703,0.98567,0.000809163,0.000809163,0.000809163
19,43.5985,1.71196,1.26526,1.01546,0.03203,0.87097,0.38323,0.22153,1.53387,3.03223,0.97318,0.000850343,0.000850343,0.000850343
20,45.6311,1.72514,1.21937,1.00615,0.03175,0.87097,0.52734,0.32251,1.4624,2.92336,0.97329,0.000891029,0.000891029,0.000891029
21,47.7623,1.63639,1.256,0.97256,0.03391,0.91935,0.6327,0.36522,1.50483,2.81608,0.98625,0.00093122,0.00093122,0.00093122
22,49.8183,1.74457,1.23595,0.985,0.03473,0.91935,0.72887,0.41548,1.50246,2.74658,0.97997,0.000970915,0.000970915,0.000970915
23,51.9186,1.62389,1.20299,0.98978,0.035,0.90323,0.75419,0.42922,1.5008,2.62832,0.98466,0.00101012,0.00101012,0.00101012
24,54.0132,1.53873,1.10718,0.95476,0.05298,0.90323,0.75616,0.44069,1.53036,2.4787,0.97992,0.00104882,0.00104882,0.00104882
25,55.998,1.59037,1.1211,0.96431,0.88118,0.37097,0.71751,0.37753,1.59606,2.38119,0.98397,0.00108703,0.00108703,0.00108703
26,58.1286,1.68704,1.20111,0.99125,0.80434,0.74194,0.77986,0.38594,1.61147,2.369,0.98348,0.00112475,0.00112475,0.00112475
27,60.2011,1.64133,1.20419,0.9862,0.03711,0.90323,0.81421,0.42124,1.48818,2.41092,0.96002,0.00116197,0.00116197,0.00116197
28,62.2741,1.74565,1.18671,0.98967,0.87544,0.75806,0.84066,0.41372,1.50843,2.33931,0.96509,0.00119869,0.00119869,0.00119869
29,64.2735,1.69115,1.23339,1.01353,0.87544,0.75806,0.84066,0.41372,1.50843,2.33931,0.96509,0.00123492,0.00123492,0.00123492
30,66.3904,1.85061,1.19054,1.00294,0.95021,0.30784,0.78702,0.31722,1.9574,2.15004,1.07783,0.00127065,0.00127065,0.00127065
31,68.4445,1.79355,1.14089,1.02146,0.96553,0.45178,0.78237,0.3261,1.93056,2.00904,1.07688,0.00130589,0.00130589,0.00130589
32,70.4842,1.65873,1.09681,0.98643,0.93546,0.46753,0.77797,0.38581,1.6054,1.96634,0.98965,0.00134064,0.00134064,0.00134064
33,72.4292,1.6067,1.13092,0.96275,0.93546,0.46753,0.77797,0.38581,1.6054,1.96634,0.98965,0.00137489,0.00137489,0.00137489
34,74.4521,1.65302,1.13904,0.97078,0.97133,0.54651,0.82399,0.41485,1.50658,1.93041,0.9548,0.0013947,0.0013947,0.0013947
35,76.5141,1.62596,1.13369,0.96561,0.92354,0.5845,0.8096,0.3625,1.61054,1.87906,0.97994,0.00138644,0.00138644,0.00138644
36,78.709,1.65971,1.16151,0.97399,0.87273,0.55309,0.69623,0.30676,1.85318,1.83742,1.04385,0.00137819,0.00137819,0.00137819
37,80.9653,1.68113,1.13451,0.9909,0.87273,0.55309,0.69623,0.30676,1.85318,1.83742,1.04385,0.00136994,0.00136994,0.00136994
38,83.0634,1.72588,1.11878,1.00163,0.91131,0.62903,0.76514,0.35786,1.67481,1.74492,0.99577,0.00136169,0.00136169,0.00136169
39,85.1879,1.62879,1.13953,0.97572,0.81576,0.62903,0.74993,0.37098,1.56086,1.72743,0.97206,0.00135344,0.00135344,0.00135344
40,87.2399,1.60514,1.08903,0.96845,0.81162,0.62546,0.73856,0.35703,1.62773,1.69637,0.98398,0.00134519,0.00134519,0.00134519
41,89.1679,1.63494,1.10577,0.99256,0.81162,0.62546,0.73856,0.35703,1.62773,1.69637,0.98398,0.00133693,0.00133693,0.00133693
42,91.2434,1.67461,1.13527,0.96677,0.84742,0.6271,0.69122,0.33587,1.75758,1.58674,1.01212,0.00132868,0.00132868,0.00132868
43,93.3586,1.61741,1.11286,0.98092,0.91601,0.70373,0.75599,0.40619,1.60487,1.47395,0.98359,0.00132043,0.00132043,0.00132043
44,95.4768,1.58774,1.01639,0.95995,0.92084,0.75056,0.82783,0.46437,1.4355,1.43788,0.95714,0.00131218,0.00131218,0.00131218
45,97.4455,1.64785,1.10038,0.93577,0.92084,0.75056,0.82783,0.46437,1.4355,1.43788,0.95714,0.00130393,0.00130393,0.00130393
46,99.6148,1.68569,1.10124,0.96499,0.83006,0.75806,0.79062,0.44242,1.46468,1.34877,0.96804,0.00129568,0.00129568,0.00129568
47,101.777,1.58601,1.01865,0.97268,0.8199,0.77419,0.75248,0.34901,1.81928,1.31173,1.02672,0.00128742,0.00128742,0.00128742
48,104.103,1.78071,1.10763,0.97245,0.85492,0.77419,0.80494,0.32507,1.851,1.25448,1.0256,0.00127917,0.00127917,0.00127917
49,106.01,1.52614,1.01424,0.95277,0.85492,0.77419,0.80494,0.32507,1.851,1.25448,1.0256,0.00127092,0.00127092,0.00127092
50,108.093,1.63804,1.0851,0.97327,0.87741,0.80808,0.83693,0.42399,1.5313,1.18301,0.96567,0.00126267,0.00126267,0.00126267
51,110.215,1.53232,1.03569,0.97173,0.85627,0.82258,0.839,0.44712,1.44198,1.07705,0.95613,0.00125442,0.00125442,0.00125442
52,112.275,1.4963,1.05455,0.94881,0.91121,0.82767,0.8499,0.43335,1.52412,0.99612,0.97879,0.00124617,0.00124617,0.00124617
53,114.366,1.5366,1.01687,0.94675,0.91121,0.82767,0.8499,0.43335,1.52412,0.99612,0.97879,0.00123791,0.00123791,0.00123791
54,116.426,1.5268,0.99873,0.97224,0.88764,0.76461,0.77704,0.36333,1.79505,1.06077,1.0442,0.00122966,0.00122966,0.00122966
55,118.536,1.77644,1.08746,0.9766,0.87775,0.75806,0.77813,0.36394,1.79823,1.0649,1.05103,0.00122141,0.00122141,0.00122141
56,120.72,1.56368,1.03718,0.96458,0.89701,0.80645,0.82992,0.43204,1.46331,0.9664,0.97379,0.00121316,0.00121316,0.00121316
57,122.712,1.61081,1.02104,0.93903,0.89701,0.80645,0.82992,0.43204,1.46331,0.9664,0.97379,0.00120491,0.00120491,0.00120491
58,124.867,1.6015,1.01552,0.96027,0.91452,0.86282,0.89145,0.45914,1.37758,1.00983,0.95436,0.00119666,0.00119666,0.00119666
59,127.044,1.56873,1.01737,0.9518,0.94483,0.82873,0.88981,0.42672,1.52187,1.01196,0.98102,0.0011884,0.0011884,0.0011884
60,129.153,1.48826,0.99624,0.92614,0.79691,0.82276,0.80929,0.37993,1.77016,1.04693,1.02803,0.00118015,0.00118015,0.00118015
61,131.181,1.50425,0.96932,0.96024,0.79691,0.82276,0.80929,0.37993,1.77016,1.04693,1.02803,0.0011719,0.0011719,0.0011719
62,133.306,1.56168,0.98185,0.93401,0.87027,0.75739,0.79727,0.38528,1.71914,1.03606,1.01284,0.00116365,0.00116365,0.00116365
63,135.406,1.52947,0.96535,0.95919,0.8809,0.83508,0.84965,0.44125,1.54315,0.97093,0.97186,0.0011554,0.0011554,0.0011554
64,137.47,1.43028,0.93985,0.94316,0.89079,0.83871,0.86224,0.46783,1.41051,0.92582,0.95098,0.00114715,0.00114715,0.00114715
65,139.469,1.44184,0.88745,0.94857,0.89079,0.83871,0.86224,0.46783,1.41051,0.92582,0.95098,0.00113889,0.00113889,0.00113889
66,141.573,1.58415,0.95982,0.96712,0.9629,0.83728,0.8717,0.44671,1.4809,0.93949,0.97219,0.00113064,0.00113064,0.00113064
67,143.626,1.56084,0.96266,0.96999,0.8492,0.82258,0.82768,0.41093,1.59401,0.98211,0.99196,0.00112239,0.00112239,0.00112239
