epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8913,2.13663,4.12458,1.2346,0.00181,0.03226,0.0001,5e-05,1.48485,4.02284,1.03552,3.334e-05,3.334e-05,3.334e-05
2,22.7022,1.8149,3.82769,1.14316,0.00818,0.16129,0.00164,0.00086,1.63598,3.92481,1.01455,7.50984e-05,7.50984e-05,7.50984e-05
3,24.7275,1.74073,3.56306,1.06153,0.02018,0.40323,0.02282,0.00668,1.75122,3.84985,1.01933,0.000106955,0.000106955,0.000106955
4,26.7501,1.78461,3.21903,1.02386,0.02638,0.53226,0.0702,0.02096,1.69233,3.80033,1.00686,0.000128909,0.000128909,0.000128909
5,28.7643,1.7424,2.7167,1.0484,0.02169,0.43548,0.03539,0.01484,1.69477,3.74497,1.0142,0.000140962,0.000140962,0.000140962
6,30.6837,1.879,2.30254,1.06771,0.02176,0.43548,0.0374,0.0154,1.78139,3.72808,1.03503,0.000143112,0.000143112,0.000143112
7,32.6627,1.79511,2.12516,1.04258,0.024,0.48387,0.04951,0.01783,1.84974,3.68462,1.0418,0.00013536,0.00013536,0.00013536
8,34.5031,1.75962,1.95116,1.03201,0.01764,0.35484,0.0489,0.01477,1.82701,3.66654,1.03439,0.000117707,0.000117707,0.000117707
9,36.5362,1.70438,1.85642,1.03112,0.01447,0.29032,0.09181,0.03167,1.75134,3.59586,1.0133,9.01514e-05,9.01514e-05,9.01514e-05
10,38.5131,1.61158,1.80109,1.01148,0.01612,0.32258,0.10059,0.038,1.72794,3.5772,1.00472,5.26939e-05,5.26939e-05,5.26939e-05
