epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.50782,2.09807,0.18261,0.67826,2.15116,8.181e-05,8.181e-05,8.181e-05
2,5.33143,1.83617,0.3913,0.83478,1.69007,0.00016929,0.00016929,0.00016929
3,6.69511,1.48753,0.46957,0.91304,1.42958,0.000253171,0.000253171,0.000253171
4,8.1539,1.23819,0.54783,0.93913,1.30632,0.000333452,0.000333452,0.000333452
5,9.52635,1.01088,0.6087,0.93913,1.19822,0.000410134,0.000410134,0.000410134
6,10.8601,0.89264,0.65217,0.95652,1.05145,0.000483215,0.000483215,0.000483215
7,12.2302,0.74335,0.66957,0.97391,0.99048,0.000552697,0.000552697,0.000552697
8,13.5634,0.66771,0.67826,0.98261,0.90904,0.00061858,0.00061858,0.00061858
9,14.9145,0.57529,0.68696,0.98261,0.93081,0.000680863,0.000680863,0.000680863
10,16.2556,0.46312,0.73043,0.97391,0.83913,0.000739546,0.000739546,0.000739546
11,17.5874,0.37836,0.72174,0.98261,0.97481,0.000729018,0.000729018,0.000729018
12,18.915,0.41458,0.72174,0.96522,0.87435,0.00071102,0.00071102,0.00071102
13,20.2613,0.35155,0.73043,0.96522,0.8499,0.000693022,0.000693022,0.000693022
14,21.5862,0.27746,0.76522,0.98261,0.81058,0.000675023,0.000675023,0.000675023
15,22.8995,0.2825,0.7913,0.98261,0.70817,0.000657025,0.000657025,0.000657025
16,24.2354,0.27129,0.76522,0.98261,0.81283,0.000639027,0.000639027,0.000639027
17,25.5656,0.25725,0.75652,0.98261,0.97003,0.000621029,0.000621029,0.000621029
18,26.9233,0.25663,0.7913,0.98261,0.95177,0.000603031,0.000603031,0.000603031
19,28.2684,0.28018,0.7913,0.98261,1.01747,0.000585032,0.000585032,0.000585032
20,29.6096,0.21105,0.8,0.98261,0.86486,0.000567034,0.000567034,0.000567034
21,30.9496,0.1893,0.8087,1,0.80912,0.000549036,0.000549036,0.000549036
22,32.3001,0.23184,0.82609,1,0.63991,0.000531038,0.000531038,0.000531038
23,33.661,0.14842,0.76522,0.9913,0.70819,0.00051304,0.00051304,0.00051304
24,34.9917,0.14804,0.7913,0.9913,0.74899,0.000495041,0.000495041,0.000495041
25,36.3265,0.18116,0.77391,0.9913,0.77696,0.000477043,0.000477043,0.000477043
26,37.6563,0.20484,0.78261,0.98261,0.92378,0.000459045,0.000459045,0.000459045
27,39,0.12295,0.77391,0.98261,0.88803,0.000441047,0.000441047,0.000441047
28,40.3509,0.19353,0.8,0.97391,0.77845,0.000423049,0.000423049,0.000423049
29,41.6912,0.10211,0.78261,0.97391,0.72423,0.00040505,0.00040505,0.00040505
30,43.0182,0.10302,0.8,0.97391,0.74662,0.000387052,0.000387052,0.000387052
31,44.3758,0.08436,0.7913,0.97391,0.75005,0.000369054,0.000369054,0.000369054
32,45.716,0.10298,0.77391,0.97391,0.76027,0.000351056,0.000351056,0.000351056
33,47.0593,0.09344,0.75652,0.97391,0.72158,0.000333058,0.000333058,0.000333058
34,48.3828,0.08912,0.77391,0.9913,0.80174,0.000315059,0.000315059,0.000315059
35,49.7325,0.09786,0.75652,0.9913,0.8108,0.000297061,0.000297061,0.000297061
36,51.0652,0.09555,0.78261,0.9913,0.74958,0.000279063,0.000279063,0.000279063
37,52.4089,0.05783,0.7913,0.9913,0.79767,0.000261065,0.000261065,0.000261065
38,53.7491,0.10997,0.78261,0.9913,0.89752,0.000243067,0.000243067,0.000243067
39,55.0821,0.10079,0.78261,0.98261,0.82857,0.000225068,0.000225068,0.000225068
40,56.4269,0.07347,0.7913,0.98261,0.86085,0.00020707,0.00020707,0.00020707
41,57.8328,0.11328,0.7913,0.98261,0.82481,0.000189072,0.000189072,0.000189072
42,59.166,0.08406,0.81739,0.98261,0.7679,0.000171074,0.000171074,0.000171074
43,60.5155,0.06131,0.81739,0.98261,0.76635,0.000153076,0.000153076,0.000153076
44,61.8557,0.06401,0.81739,0.98261,0.71966,0.000135077,0.000135077,0.000135077
45,63.1827,0.06755,0.8087,0.98261,0.77483,0.000117079,0.000117079,0.000117079
46,64.5066,0.07264,0.8087,0.98261,0.71546,9.9081e-05,9.9081e-05,9.9081e-05
47,65.865,0.05315,0.82609,0.98261,0.70043,8.10828e-05,8.10828e-05,8.10828e-05
48,67.2055,0.04914,0.82609,0.98261,0.72902,6.30846e-05,6.30846e-05,6.30846e-05
49,68.55,0.03845,0.8087,0.98261,0.73692,4.50864e-05,4.50864e-05,4.50864e-05
50,69.8894,0.03657,0.8087,0.98261,0.74023,2.70882e-05,2.70882e-05,2.70882e-05
