epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.90498,0.76005,0.54167,1,0.80913,1.667e-05,1.667e-05,1.667e-05
2,7.12349,0.7774,0.54167,1,0.80555,4.90198e-05,4.90198e-05,4.90198e-05
3,7.69199,0.76148,0.54167,1,0.79372,8.00493e-05,8.00493e-05,8.00493e-05
4,8.24391,0.69773,0.58333,1,0.7458,0.000109759,0.000109759,0.000109759
5,8.81038,0.62269,0.625,1,0.69381,0.000138148,0.000138148,0.000138148
6,9.37022,0.59075,0.625,1,0.65105,0.000165216,0.000165216,0.000165216
7,9.90714,0.55053,0.66667,1,0.60818,0.000190965,0.000190965,0.000190965
8,10.4482,0.52866,0.75,1,0.5651,0.000215393,0.000215393,0.000215393
9,11.0149,0.42106,0.66667,1,0.52655,0.000238501,0.000238501,0.000238501
10,11.5527,0.42405,0.75,1,0.49821,0.000260289,0.000260289,0.000260289
11,12.2038,0.32556,0.79167,1,0.4637,0.000280756,0.000280756,0.000280756
12,12.7968,0.26249,0.79167,1,0.44408,0.000299903,0.000299903,0.000299903
13,13.3597,0.27447,0.83333,1,0.43343,0.00031773,0.00031773,0.00031773
14,13.9586,0.20552,0.83333,1,0.4441,0.000334237,0.000334237,0.000334237
15,14.5476,0.22361,0.875,1,0.44245,0.000349423,0.000349423,0.000349423
16,15.1426,0.15455,0.75,1,0.45646,0.000363289,0.000363289,0.000363289
17,15.6999,0.16093,0.75,1,0.49212,0.000375835,0.000375835,0.000375835
18,16.2651,0.05475,0.75,1,0.51896,0.000387061,0.000387061,0.000387061
19,16.8457,0.0751,0.75,1,0.46889,0.000396966,0.000396966,0.000396966
20,17.4026,0.06452,0.83333,1,0.43059,0.000405551,0.000405551,0.000405551
21,17.9653,0.05149,0.83333,1,0.40477,0.000412816,0.000412816,0.000412816
22,18.5236,0.0967,0.83333,1,0.37798,0.00041876,0.00041876,0.00041876
23,19.1057,0.0286,0.875,1,0.3457,0.000423385,0.000423385,0.000423385
24,19.683,0.01624,0.875,1,0.33651,0.000426689,0.000426689,0.000426689
25,20.2912,0.18403,0.875,1,0.31377,0.000428672,0.000428672,0.000428672
26,20.8644,0.14508,0.875,1,0.34351,0.000429336,0.000429336,0.000429336
27,21.4227,0.119,0.875,1,0.34787,0.000428679,0.000428679,0.000428679
28,21.9856,0.04326,0.875,1,0.32822,0.000426702,0.000426702,0.000426702
29,22.5229,0.03641,0.91667,1,0.28112,0.000423405,0.000423405,0.000423405
30,23.0916,0.05523,0.91667,1,0.26954,0.000418787,0.000418787,0.000418787
31,23.6511,0.07166,0.91667,1,0.27157,0.000412849,0.000412849,0.000412849
32,24.2024,0.11452,0.875,1,0.28594,0.000405591,0.000405591,0.000405591
33,24.7787,0.12861,0.875,1,0.30012,0.000397013,0.000397013,0.000397013
34,25.3433,0.04512,0.875,1,0.31495,0.000387114,0.000387114,0.000387114
35,25.8722,0.09726,0.875,1,0.32805,0.000375895,0.000375895,0.000375895
36,26.4433,0.0643,0.875,1,0.35766,0.000363356,0.000363356,0.000363356
37,27.0152,0.0688,0.875,1,0.36772,0.000349497,0.000349497,0.000349497
38,27.5737,0.01972,0.875,1,0.38293,0.000334317,0.000334317,0.000334317
39,28.1187,0.06765,0.875,1,0.37042,0.000317817,0.000317817,0.000317817
40,28.6908,0.02676,0.875,1,0.35569,0.000299997,0.000299997,0.000299997
41,29.2649,0.04784,0.83333,1,0.34168,0.000280856,0.000280856,0.000280856
42,29.825,0.02366,0.83333,1,0.35147,0.000260395,0.000260395,0.000260395
43,30.3717,0.03191,0.83333,1,0.3687,0.000238614,0.000238614,0.000238614
44,30.9345,0.04609,0.83333,1,0.40197,0.000215513,0.000215513,0.000215513
45,31.4834,0.05884,0.83333,1,0.42099,0.000191092,0.000191092,0.000191092
46,32.0321,0.00742,0.83333,1,0.42531,0.00016535,0.00016535,0.00016535
47,32.592,0.04081,0.83333,1,0.43715,0.000138288,0.000138288,0.000138288
48,33.1785,0.01297,0.83333,1,0.42866,0.000109905,0.000109905,0.000109905
49,33.7374,0.01964,0.875,1,0.41734,8.02027e-05,8.02027e-05,8.02027e-05
50,34.2912,0.02823,0.875,1,0.39682,4.91798e-05,4.91798e-05,4.91798e-05
