epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,22.2371,3.11653,7.32343,0.00784,0.62194,0.55263,0.55682,0.21198,2.42492,2.03339,0.00608,0.000555556,0.000555556,0.000555556
2,28.1602,2.46854,4.02383,0.00471,0.25641,0.46053,0.16489,0.04846,2.28059,48.5298,0.00553,0.00121617,0.00121617,0.00121617
3,33.9798,2.19769,1.81522,0.00376,0.64898,0.52303,0.49982,0.2011,2.01094,19.5109,0.00509,0.00187019,0.00187019,0.00187019
4,39.8153,2.09718,1.57233,0.00347,0.32084,0.11184,0.09171,0.03959,3.08141,4.23271,0.0118,0.0019703,0.0019703,0.0019703
5,45.5632,1.93407,1.29327,0.00317,0,0,0,0,nan,nan,nan,0.0019604,0.0019604,0.0019604
6,51.342,1.91765,1.21613,0.0031,0.44047,0.31579,0.28699,0.13004,3.02878,2.60879,0.00757,0.0019505,0.0019505,0.0019505
7,57.099,1.85738,1.03339,0.00303,0.08221,0.01974,0.00642,0.00135,4.83336,4.74819,0.01239,0.0019406,0.0019406,0.0019406
8,62.8574,1.86234,1.03911,0.00295,0.00749,0.08553,0.00136,0.00027,4.10194,4.46628,0.01229,0.0019307,0.0019307,0.0019307
9,68.5647,1.79281,0.93779,0.00281,0.20933,0.02961,0.01249,0.00352,4.07815,6.09796,0.01593,0.0019208,0.0019208,0.0019208
10,74.3008,1.84005,1.00461,0.00286,0.09408,0.08882,0.05003,0.02331,3.42128,6.2782,0.01211,0.0019109,0.0019109,0.0019109
11,80.0391,1.82689,0.97362,0.00289,0.03025,0.21053,0.02197,0.00909,3.28063,5.18097,0.00786,0.001901,0.001901,0.001901
12,85.7612,1.72144,0.87943,0.00276,0.36364,0.02632,0.01921,0.00648,3.2366,6.05314,0.01149,0.0018911,0.0018911,0.0018911
13,91.537,1.74195,0.81123,0.0027,0.8236,0.7065,0.76943,0.45451,1.55121,1.25973,0.00337,0.0018812,0.0018812,0.0018812
14,97.6589,1.68752,0.84415,0.00288,0.6832,0.43421,0.4898,0.27252,2.03677,2.32353,0.00471,0.0018713,0.0018713,0.0018713
15,103.452,1.66873,0.78532,0.00265,0.89856,0.69408,0.7892,0.46876,1.58014,1.08577,0.00355,0.0018614,0.0018614,0.0018614
16,109.395,1.65292,0.74754,0.00267,0.82953,0.69737,0.76752,0.44462,1.60407,1.07357,0.00356,0.0018515,0.0018515,0.0018515
17,115.213,1.65712,0.79599,0.00258,0.75663,0.5625,0.63178,0.31141,1.8847,1.46217,0.00427,0.0018416,0.0018416,0.0018416
18,121.042,1.66702,0.84161,0.0026,0.71498,0.59211,0.66097,0.3235,1.79101,1.35423,0.00418,0.0018317,0.0018317,0.0018317
19,126.85,1.62173,0.7508,0.00265,0.88696,0.80592,0.8486,0.40669,1.77657,0.83815,0.00403,0.0018218,0.0018218,0.0018218
20,132.656,1.72755,0.79594,0.00266,0.91259,0.75987,0.82654,0.45823,1.66536,0.8871,0.00369,0.0018119,0.0018119,0.0018119
21,138.415,1.78111,0.75287,0.00287,0.85759,0.67763,0.76378,0.42728,1.73088,1.27364,0.00394,0.001802,0.001802,0.001802
22,144.232,1.70095,0.72536,0.00257,0.95019,0.83224,0.87771,0.54008,1.53941,0.72277,0.00343,0.0017921,0.0017921,0.0017921
23,150.226,1.68116,0.76693,0.00263,0.96504,0.81725,0.89078,0.57462,1.48867,0.6753,0.00324,0.0017822,0.0017822,0.0017822
24,156.15,1.65891,0.74356,0.00255,0.96069,0.83224,0.88011,0.56703,1.43904,0.71559,0.00316,0.0017723,0.0017723,0.0017723
25,162.006,1.62636,0.74334,0.00245,0.954,0.82895,0.88849,0.56252,1.39575,0.72148,0.00296,0.0017624,0.0017624,0.0017624
26,167.831,1.69591,0.75467,0.00261,0.99153,0.79605,0.87973,0.54802,1.5052,0.73547,0.0033,0.0017525,0.0017525,0.0017525
27,173.675,1.66414,0.78619,0.00252,0.92465,0.80739,0.88669,0.51524,1.56993,0.69573,0.00339,0.0017426,0.0017426,0.0017426
28,179.465,1.61698,0.74262,0.00252,0.95219,0.85176,0.90966,0.54468,1.62843,0.67347,0.00369,0.0017327,0.0017327,0.0017327
29,185.282,1.69316,0.75985,0.0026,0.96631,0.82566,0.89545,0.46915,1.93629,0.75179,0.00425,0.0017228,0.0017228,0.0017228
30,191.048,1.62661,0.70051,0.00251,0.96538,0.8256,0.9031,0.5566,1.51025,0.71819,0.0033,0.0017129,0.0017129,0.0017129
31,196.894,1.66832,0.72996,0.0025,0.97692,0.83542,0.90565,0.54882,1.52174,0.70889,0.00326,0.001703,0.001703,0.001703
32,202.697,1.57249,0.6418,0.00244,0.97199,0.82237,0.88957,0.51283,1.61731,0.66149,0.00366,0.0016931,0.0016931,0.0016931
33,208.492,1.66902,0.76506,0.00256,0.97158,0.83882,0.91176,0.55532,1.46819,0.59803,0.00307,0.0016832,0.0016832,0.0016832
34,215.775,1.65801,0.71355,0.00264,0.92821,0.80592,0.88651,0.56079,1.61262,0.61878,0.00359,0.0016733,0.0016733,0.0016733
35,221.576,1.56303,0.70828,0.00249,0.90848,0.84897,0.89546,0.57366,1.4727,0.62752,0.00322,0.0016634,0.0016634,0.0016634
36,227.436,1.5665,0.67461,0.00238,0.98087,0.84317,0.91886,0.59409,1.53419,0.56006,0.00327,0.0016535,0.0016535,0.0016535
37,233.371,1.60242,0.71095,0.00252,0.98502,0.83224,0.91244,0.58923,1.39088,0.60074,0.00302,0.0016436,0.0016436,0.0016436
38,239.238,1.53726,0.64746,0.00243,0.94658,0.816,0.88662,0.52096,1.53075,0.69556,0.00336,0.0016337,0.0016337,0.0016337
39,245.029,1.58564,0.72518,0.00241,0.9413,0.81579,0.88852,0.50561,1.59864,0.72057,0.00344,0.0016238,0.0016238,0.0016238
40,250.847,1.53026,0.66695,0.00234,0.89954,0.79532,0.85446,0.43711,1.78115,0.82929,0.00385,0.0016139,0.0016139,0.0016139
41,256.667,1.63145,0.7107,0.00244,0.88514,0.79605,0.85564,0.4913,1.66831,0.94891,0.00387,0.001604,0.001604,0.001604
42,262.46,1.59787,0.65875,0.00224,0.96157,0.85855,0.89596,0.58892,1.38961,0.66372,0.00296,0.0015941,0.0015941,0.0015941
43,269.696,1.5457,0.66005,0.00242,0.95474,0.86513,0.90704,0.57758,1.39945,0.56277,0.00301,0.0015842,0.0015842,0.0015842
44,275.524,1.58359,0.6942,0.00243,0.93999,0.78618,0.87807,0.52874,1.54411,0.88805,0.00341,0.0015743,0.0015743,0.0015743
45,282.888,1.53745,0.71301,0.00245,0.97334,0.8407,0.90518,0.53767,1.50882,0.63775,0.00316,0.0015644,0.0015644,0.0015644
46,288.732,1.51161,0.61577,0.00227,0.95322,0.84211,0.90187,0.48151,1.86827,0.68108,0.0042,0.0015545,0.0015545,0.0015545
47,294.494,1.56687,0.66392,0.00236,0.97741,0.85405,0.91529,0.57105,1.4669,0.57731,0.00313,0.0015446,0.0015446,0.0015446
48,300.285,1.51484,0.61572,0.00229,0.92806,0.875,0.90828,0.58832,1.42896,0.64418,0.00294,0.0015347,0.0015347,0.0015347
49,306.164,1.5652,0.62955,0.00232,0.97738,0.85293,0.91312,0.59794,1.38906,0.6138,0.00295,0.0015248,0.0015248,0.0015248
