epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,81.137,1.5015,6.72883,0.02248,0.69267,0.69322,0.73793,0.42553,1.43107,4.29558,0.02618,0.000194168,0.000194168,0.000194168
2,162.779,1.46143,2.24849,0.02257,0.74281,0.73389,0.77973,0.33717,1.94249,1.78985,0.04022,0.000370855,0.000370855,0.000370855
3,244.666,1.49005,1.80217,0.02328,0.68298,0.62063,0.69962,0.40621,1.42979,1.63006,0.0271,0.000528138,0.000528138,0.000528138
4,326.791,1.48841,1.63824,0.02302,0.7789,0.8133,0.84462,0.5182,1.2732,1.00052,0.0235,0.000500682,0.000500682,0.000500682
5,409.097,1.46255,1.48638,0.02267,0.80966,0.81312,0.86029,0.5525,1.2173,0.8673,0.02257,0.000471576,0.000471576,0.000471576
6,491.268,1.42221,1.38793,0.02185,0.88221,0.83076,0.88959,0.58231,1.22402,0.72932,0.02107,0.00044247,0.00044247,0.00044247
7,573.318,1.38911,1.31514,0.02135,0.84079,0.87551,0.89263,0.58172,1.15632,0.70494,0.01999,0.000413364,0.000413364,0.000413364
8,655.065,1.35391,1.23897,0.02061,0.86829,0.87242,0.90932,0.63306,1.06805,0.62421,0.01822,0.000384258,0.000384258,0.000384258
9,737.233,1.34238,1.19535,0.02019,0.82547,0.84074,0.87867,0.58397,1.14925,0.73744,0.02005,0.000355152,0.000355152,0.000355152
10,819.325,1.30983,1.13732,0.01932,0.87056,0.9056,0.93731,0.66625,0.98908,0.50379,0.01615,0.000326046,0.000326046,0.000326046
11,903.114,1.22025,0.69974,0.02226,0.89002,0.85662,0.92296,0.64845,1.02667,0.56734,0.01688,0.00029694,0.00029694,0.00029694
12,983.905,1.17784,0.63319,0.02113,0.88929,0.86775,0.92107,0.663,0.98566,0.55784,0.01603,0.000267834,0.000267834,0.000267834
13,1064.84,1.14754,0.59671,0.02028,0.90911,0.89576,0.93722,0.66421,0.99594,0.49594,0.01598,0.000238728,0.000238728,0.000238728
14,1145.69,1.10856,0.55166,0.01957,0.89248,0.91273,0.94108,0.68843,0.94478,0.47155,0.01497,0.000209622,0.000209622,0.000209622
15,1226.69,1.07473,0.52666,0.01869,0.92517,0.90645,0.95332,0.71015,0.90781,0.41752,0.01414,0.000180516,0.000180516,0.000180516
16,1307.62,1.0568,0.50356,0.01825,0.9057,0.90904,0.9452,0.70437,0.89092,0.44063,0.01377,0.00015141,0.00015141,0.00015141
17,1388.4,1.03135,0.48765,0.01733,0.92237,0.90165,0.94825,0.71541,0.87201,0.43352,0.01387,0.000122304,0.000122304,0.000122304
18,1469.25,1.00651,0.46353,0.01684,0.9239,0.9001,0.94662,0.72217,0.84315,0.42695,0.01297,9.3198e-05,9.3198e-05,9.3198e-05
19,1550.16,0.99197,0.4515,0.01636,0.92704,0.90535,0.95043,0.72086,0.84926,0.41359,0.0131,6.4092e-05,6.4092e-05,6.4092e-05
20,1630.96,0.97703,0.43928,0.01595,0.92407,0.89563,0.948,0.72526,0.83087,0.41482,0.0127,3.4986e-05,3.4986e-05,3.4986e-05
